Flight,Time,Destination,Carrier,Terminal,Gate,Status,Duration
PS0045,20:10,Kherson,Ukraine International Airlines,D,D22,Scheduled,01:50
PS0387,20:25,Colombo,Ukraine International Airlines,D,D9,Scheduled,01:50
PS0099,20:25,Vinnica,Ukraine International Airlines,D,D19,Scheduled,01:50
PS0517,20:30,Tbilisi,Ukraine International Airlines,D,D8,Scheduled,01:50
PS0085,20:30,Zaporizhzhia,Ukraine International Airlines,D,D21,Scheduled,01:50
BT0405,20:35,Riga,Air Baltic,D,D12,Scheduled,01:50
PS0113,20:35,London,Ukraine International Airlines,D,D1,Scheduled,01:50
PS0315,20:35,Bergamo,Ukraine International Airlines,D,D15,Scheduled,01:50
PS0925,20:40,Krakow,Ukraine International Airlines,D,D4,Scheduled,01:50
PS0147,20:40,Brussels,Ukraine International Airlines,D,D10,Scheduled,01:50
SN4018,20:40,Brussels,Brussels Airlines,D,D10,Scheduled,01:50
PS0041,20:40,Chernivtsi,Ukraine International Airlines,D,D20,Scheduled,01:50
PS0761,20:55,Amman,Ukraine International Airlines,D,D11,Scheduled,01:50
PS0391,20:55,Delhi,Ukraine International Airlines,D,D3,Scheduled,01:50
J26601,21:00,Baku,Azerbaijan Airlines,D,D16,Scheduled,01:50
PS0601,21:00,Baku,Ukraine International Airlines,D,D16,Scheduled,01:50
TK0460,21:00,Istanbul,Turkish Airlines,D,D2,Scheduled,01:50
PS9560,21:00,Istanbul,Ukraine International Airlines,D,D2,Scheduled,01:50
KC0402,21:40,Almaty,Air Astana,D,D5,Scheduled,01:50
QR0298,23:10,Doha,Qatar Airways Company,D,D8,Scheduled,01:50
EK2160,23:15,Dubai,Emirates,D,D4,Scheduled,01:50
FZ0730,23:15,Dubai,Flydubai,D,D4,Scheduled,01:50
